title,authors,fim_authors,date,journal,volume,pages,book_title,publisher,abstract,data_loc,code_loc,type,doi,project_id
Ultra-slow fMRI fluctuations in the fourth ventricle as a marker of drowsiness,"Javier Gonzalez-Castillo, Isabel Fernandez, Daniel Handwerker, Peter Bandettini","javier_gonzalez-castillo, isabel_fernandez, daniel_handwerker, peter_bandettini",2022-01-01,NeuroImage,259.0,119424,,,"<p>Wakefulness levels modulate estimates of <a href='https://www.sciencedirect.com/topics/medicine-and-dentistry/functional-connectivity'>functional connectivity</a> (FC), and, if unaccounted for, can become a substantial confound in resting-state fMRI. Unfortunately, wakefulness is rarely monitored due to the need for additional concurrent recordings (e.g., eye tracking, EEG). Recent work has shown that strong fluctuations around 0.05Hz, hypothesized to be <a href='https://www.sciencedirect.com/topics/medicine-and-dentistry/cerebrospinal-fluid'>CSF</a> inflow, appear in the <a href='https://www.sciencedirect.com/topics/neuroscience/fourth-ventricle'>fourth ventricle</a> (FV) when subjects fall asleep, and that they correlate significantly with the global signal. The analysis of these fluctuations could provide an easy way to evaluate wakefulness in fMRI-only data and improve our understanding of FC during sleep. Here we evaluate this possibility using the 7T resting-state sample from the Human <a href='https://www.sciencedirect.com/topics/medicine-and-dentistry/connectome'>Connectome</a> Project (HCP). Our results replicate the observation that fourth ventricle ultra-slow fluctuations (‚àº0.05Hz) with inflow-like characteristics (decreasing in intensity for successive slices) are present in scans during which subjects did not comply with instructions to keep their eyes open (i.e., drowsy scans). This is true despite the HCP data not being optimized for the detection of inflow-like effects. In addition, time-locked BOLD fluctuations of the same frequency could be detected in large portions of grey matter with a wide range of temporal delays and contribute in significant ways to our understanding of how FC changes during sleep. First, these ultra-slow fluctuations explain half of the increase in global signal that occurs during descent into sleep. Similarly, global shifts in FC between awake and sleep states are driven by changes in this slow frequency band. Second, they can influence estimates of inter-regional FC. For example, disconnection between frontal and posterior components of the Defulat Mode Network (DMN) typically reported during sleep were only detectable after regression of these ultra-slow fluctuations. Finally, we report that the temporal evolution of the power spectrum of these ultra-slow FV fluctuations can help us reproduce sample-level sleep patterns (e.g., a substantial number of subjects descending into sleep 3 minutes following scanning onset), partially rank scans according to overall drowsiness levels, and predict individual segments of elevated drowsiness (at 60 seconds resolution) with 71% accuracy.</p> <p><a href='https://github.com/nimh-sfim/hcp7t_fv_sleep'>Code</a></p>",,https://github.com/nimh-sfim/hcp7t_fv_sleep,journal_article,10.1016/j.neuroimage.2022.119424,bold_connectivity_dynamics
Modeling hemodynamic responses in auditory cortex at 1.5 T using variable duration imaging acoustic noise,"S. Hu, O. Olulade, J. Gonzalez-Castillo, J. Santos, S. Kim, G. Tamer, W. Luh, T. TM",javier_gonzalez-castillo,2010-01-01,Neuroimage,49.0,3027-38,,,"<p>A confound for functional magnetic resonance imaging (fMRI), especially for auditory studies, is the presence of imaging acoustic noise generated mainly as a byproduct of rapid gradient switching during volume acquisition and, to a lesser extent, the radiofrequency transmit. This work utilized a novel pulse sequence to present actual imaging acoustic noise for characterization of the induced hemodynamic responses and assessment of linearity in the primary auditory cortex with respect to noise duration. Results show that responses to brief duration (46 ms) imaging acoustic noise is highly nonlinear while responses to longer duration (>1 s) imaging acoustic noise becomes approximately linear, with the right primary auditory cortex exhibiting a higher degree of nonlinearity than the left for the investigated noise durations. This study also assessed the spatial extent of activation induced by imaging acoustic noise, showing that the use of modeled responses (specific to imaging acoustic noise) as the reference waveform revealed additional activations in the auditory cortex not observed with a canonical gamma variate reference waveform, suggesting an improvement in detection sensitivity for imaging acoustic noise-induced activity. Longer duration (1.5 s) imaging acoustic noise was observed to induce activity that expanded outwards from Heschl's gyrus to cover the superior temporal gyrus as well as parts of the middle temporal gyrus and insula, potentially affecting higher level acoustic processing.</p>",,,journal_article,,
Separating slow BOLD from non-BOLD baseline drifts using multi-echo fMRI,"Jennifer Evans, Prantik Kundu, Silvina Horovitz, Peter Bandettini","jennifer_evans, prantik_kundu, peter_bandettini",2015-01-01,NeuroImage,105.0,189-197,,,,,,journal_article,10.1016/j.neuroimage.2014.10.051,multi_echo
Sensory activation - induced hemodynamic changes observed in the human brain with echo planar MRI,"Peter Bandettini, J. Binder, E. DeYoe, J. Hyde",peter_bandettini,1996-01-01,,,1051-1056,,,,,,book_chapter,,
Information-based functional brain mapping,"N. Kriegeskorte, R. Goebel, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2006-01-01,Proceedings of the National Academy of Sciences of the United States of America,103.0,3863-3868,,,,,,journal_article,,
Correcting Brain-Wide Correlation Differences in Resting-State FMRI,"Z. Saad, R. Reynolds, H. Jo, G. Cox","ziad_saad, hang_jo",2013-01-01,Brain Connectivity,,,,,,,,journal_article,,
Functional MRI,Peter Bandettini,peter_bandettini,2006-01-01,,,,,,,,,book_chapter,,
Extended amygdala connectivity changes during sustained shock anticipation,"Salvatore Torrisi, Adam Gorka, Javier Gonzalez-Castillo, Katherine O'Connell, Nicholas Balderston, Christian Grillon, Monique Ernst",javier_gonzalez-castillo,2018-01-01,Translational Psychiatry,8.0,,,,"<p>The bed nucleus of the stria terminalis (BNST) and central amygdala (CeA) of the extended amygdala are small, anatomically interconnected brain regions. They are thought to mediate responses to sustained, unpredictable threat stimuli and phasic, predictable threat stimuli, respectively. They perform these operations largely through their interconnected networks. In two previous studies, we mapped and contrasted the resting functional connectivity networks of the BNST and CeA at 7 Tesla with high resolution. This follow-up study investigates the changes in functional connectivity of these structures during sustained anticipation of electric shock. Results show that the BNST and CeA become less strongly coupled with the ventromedial prefrontal cortex (vmPFC), cingulate, and nucleus accumbens in shock threat relative to a safety condition. In addition, the CeA becomes more strongly coupled with the thalamus under threat. An exploratory, whole-brain connectivity analysis reveals that, although the BNST/CeA exhibits generally decreased connectivity, many other cortical regions demonstrate greater coupling under threat than safety. Understanding the differential network structures of these two regions and how they contribute to processing under threat will help elucidate the building blocks of the anxious state.</p>",,,journal_article,10.1038/s41398-017-0074-6,
"Task Dependence, Tissue Specificity, and Spatial Distribution of Widespread Activations in Large Single-Subject Functional MRI Datasets at 7T","J. Gonzalez-Castillo, C. Hoy, D. Handwerker, V. Roopchansingh, S. Inati, Z. Saad, R. Cox, Peter Bandettini","javier_gonzalez-castillo, colin_hoy, daniel_handwerker, ziad_saad, peter_bandettini",2014-01-01,Cerebral Cortex,,,,,,,,journal_article,,
"Task Dependence, Tissue Specificity, and Spatial Distribution of Widespread Activations in Large Single-Subject Functional MRI Datasets at 7T","Javier Gonzalez-Castillo, Colin Hoy, Daniel Handwerker, Vinai Roopchansingh, Souheil Inati, Ziad Saad, Robert Cox, Peter Bandettini","javier_gonzalez-castillo, colin_hoy, daniel_handwerker, ziad_saad, peter_bandettini",2015-01-01,Cerebral Cortex,25.0,4667-4677,,,,,,journal_article,10.1093/cercor/bhu148,
The lag of cerebral hemodynamics with rapidly alternating periodic stimulation: Modeling for functional MRI,"G. Hathout, R. Gopi, Peter Bandettini, S. Gambhir",peter_bandettini,1999-01-01,Magnetic Resonance Imaging,17.0,20-Sep,,,,,,journal_article,,
Spatial heterogeneity of the nonlinear dynamics in the FMRI BOLD response,"R. Birn, Z. Saad, Peter Bandettini","rasmus_birn, ziad_saad, peter_bandettini",2001-01-01,NeuroImage,14.0,817-826,,,,,,journal_article,,
Synthetic images by subspace transforms I. Principal components images and related filters,"J. Sychra, Peter Bandettini, N. Bhattacharya, Q. Lin","peter_bandettini, colin_hoy",1994-01-01,Medical Physics,21.0,193-201,,,,,,journal_article,,
Dichotomous thinking and informational waste in neuroimaging,"G. Chen, P. Taylor, J. Stoddard, R. Cox, Peter Bandettini, L Pessoa",peter_bandettini,2021-01-01,bioRxiv,,,,,,,,journal_article,,
Multi-echo fMRI: A review of applications in fMRI denoising and analysis of BOLD signals,"Prantik Kundu, Valerie Voon, Priti Balchandani, Michael Lombardo, Benedikt Poser, Peter Bandettini","prantik_kundu, peter_bandettini",2017-01-01,NeuroImage,154.0,59-80,,,,,,journal_article,10.1016/j.neuroimage.2017.03.033,multi_echo
Characterization of cerebral blood oxygenation and flow changes during prolonged brain activation,"Peter Bandettini, K. Kwong, T. Davis, R. Tootell, E. Wong, P. Fox, J. Belliveau, R. Weisskoff, B. Rosen",peter_bandettini,1997-01-01,Human Brain Mapping,5.0,93-109,,,,,,journal_article,,
Combining the tools: activation- and information-based fMRI analysis,"N. Kriegeskorte, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2007-01-01,NeuroImage,38.0,666-668,,,,,,journal_article,,
Topographical and laminar distribution of audiovisual processing within human planum temporale,"Y. Chai, T. Liu, S. Marrett, L. Li, A. Khojandi, D.A. Handwerker, A. Alink, L. Muckli, Peter Bandettini","yuhui_chai, arman_khojandi, daniel_handwerker, peter_bandettini",2021-01-01,Progress in Neurobiology,,,,,,,https://github.com/yuhuichai/Audiovisual_in_PT,journal_article,https://doi.org/10.1016/j.pneurobio.2021.102121,layer_fmri
Improved BOLD detection in the medial temporal region using parallel imaging and voxel volume reduction,"P. Bellgowan, Peter Bandettini, P. Gelderen, A. Martin, J. Bodurka","patrick_frost-bellgowan, peter_bandettini",2006-01-01,NeuroImage,29.0,1244-1251,,,,,,journal_article,,
Description logics for matchmaking of services,"J. Gonzalez-Castillo, D. Trastour, C. Bartolini",javier_gonzalez-castillo,2001-01-01,,,,,,"<p>Matchmaking is an important aspect of E-Commerce interactions. The current trend in B2B E-Commerce automation is towards complex interactions for service provision. In this context, matchmaking services require rich and flexible metadata as well as matching algorithms. The Semantic Web initiative at W3C is gaining momentum and generating suitable technologies and tools to cover both the metadata and the algorithmic aspects. In this paper we describe our experience in building a matchmaking prototype. We chose to base our prototype on a Description Logic (DL) reasoner, operating on service descriptions in DAML+OIL. We report on our investigation of DAML+OIL to express service descriptions and on our experience on existing DL reasoners, in particular assessing RACER and FACT.</p>",,,journal_article,,
Effects of biophysical and physiologic parameters on brain activation-induced R2* and R2 changes: simulations using a deterministic diffusion model,"Peter Bandettini, E. Wong",peter_bandettini,1995-01-01,International Journal of Imaging Systems and Technology,6.0,133-152,,,,,,journal_article,,
Brain network dynamics in transitions of consciousness reorganize according to task engagement,"Samika Kumar, Anat Arzi, Corinne Bareham, Javier Gonzalez-Castillo, Isabel Fernandez, Enzo Tagliazucchi, Pedro Mediano, Peter Bandettini, Tristan Bekinschtein","samika_kumar, javier_gonzalez-castillo, isabel_fernandez, peter_bandettini",2023-01-01,BioRxiv,,,,,"Substantial changes in behavior, physiology, and brain function occur when alertness decreases 1-5. These changes in brain function involve increased synchronization between cortical areas 6,7 as well as alterations in sensory processing pathways and networks connecting the thalamus and cortex 5,8-11. Cognitive tasks engage overlapping functional networks with sensory pathways facilitating information processing 12,13, and thalamocortical and corticocortical networks supporting task performance 14,15. Frontoparietal circuits play a crucial role in cognitive tasks 16 and states of decreased consciousness 17. To develop an integrated framework of consciousness and cognition, it is important to understand how fluctuations in alertness and cognitive processing interact in these shared circuits 18. Our hypothesis is that during periods of low alertness, individuals who actively maintain task engagement would recruit additional frontoparietal and sensory processing networks, while thalamocortical dynamics that typically change during sleep onset would remain unaffected. Our findings demonstrated that as alertness decreased, passively listening to auditory tones led to increased synchronization in the parietal lobe, whereas actively performing an auditory task resulted in increased long-range frontoparietal synchronization. During decreasing alertness, passive listening (but not active task engagement) was associated with widespread increased synchronization between the thalamus and cortex. In contrast, active task engagement (but not passive listening) led to increased synchronization between the auditory cortex and the rest of the brain. These results reveal the functional mechanisms of the brain's flexible reorganization during transitions of consciousness when individuals are actively engaged in cognitive processes.",,,journal_article,https://doi.org/10.1101/2023.06.08.544178,consciousness
The Effect of Motion Outside the FOV on FMRI,"F. Yetkin, V. Haughton, R. Cox, J. Hyde, R. Birn, R. Prost",rasmus_birn,1996-01-01,AJNR,17.0,1005-1009,,,,,,journal_article,,
Frequency-dependent tACS modulation of BOLD signal during rhythmic visual stimulation,"Yuhui Chai, Jingwei Sheng, Peter Bandettini, Jia-Hong Gao","yuhui_chai, peter_bandettini",2018-01-01,Human Brain Mapping,39.0,,,,,,,journal_article,10.1002/hbm.23990,
Will you read how I will read? Naturalistic fMRI predictors of emergent reading,"Elizabeth Wat, David Jangraw, Emily Finn, Peter Bandettini, Jonathan Preston, Nicole Landi, Fumiko Hoeft, Stephen Frost, Airey Lau, Gang Chen, Kenneth Pugh, Peter Molfese","elizabeth_wat, david_jangraw, emily_finn, peter_bandettini, peter_molfese",2024-01-29,Neuropsychologia,193.0,,,,"Despite reading being an essential and almost universal skill in the developed world, reading proficiency varies substantially from person to person. To study why, the fMRI field is beginning to turn from single-word or nonword reading tasks to naturalistic stimuli like connected text and listening to stories. To study reading development in children just beginning to read, listening to stories is an appropriate paradigm because speech perception and phonological processing are important for, and are predictors of, reading proficiency. Our study examined the relationship between behavioral reading-related skills and the neural response to listening to stories in the fMRI environment. Functional MRI were gathered in a 3T TIM-Trio scanner. During the fMRI scan, children aged approximately 7 years listened to professionally narrated common short stories and answered comprehension questions following the narration. Analyses of the data used inter-subject correlation (ISC), and representational similarity analysis (RSA). Our primary finding is that ISC reveals areas of increased synchrony in both high- and low-performing emergent readers previously implicated in reading ability/disability. Of particular interest are that several previously identified brain regions (medial temporal gyrus (MTG), inferior frontal gyrus (IFG), inferior temporal gyrus (ITG)) were found to 'synchronize' across higher reading ability participants, while lower reading ability participants had idiosyncratic activation patterns in these regions. Additionally, two regions (superior frontal gyrus (SFG) and another portion of ITG) were recruited by all participants, but their specific timecourse of activation depended on reading performance. These analyses support the idea that different brain regions involved in reading follow different developmental trajectories that correlate with reading proficiency on a spectrum rather than the usual dichotomy of poor readers versus strong readers.",,,journal_article,10.1016/j.neuropsychologia.2023.108763,
Principles of Functional MRI,Peter Bandettini,peter_bandettini,2005-01-01,,,,,,,,,book_chapter,,
Task-based dynamic functional connectivity: Recent findings and open questions,"Javier Gonzalez-Castillo, Peter Bandettini","javier_gonzalez-castillo, peter_bandettini",2017-01-01,NeuroImage,,,,,,,,journal_article,10.1016/j.neuroimage.2017.08.006,bold_connectivity_dynamics
Differential transient MEG and fMRI responses to visual stimulation onset rate,"A. Tuan, R. Birn, Peter Bandettini, G. Boynton","august_tuan, rasmus_birn, peter_bandettini",2008-01-01,International Journal of Imaging Systems and Technology,18.0,17-28,,,,,,journal_article,,
Detection versus estimation in event-related fMRI: Choosing the optimal stimulus timing,"R. Birn, R. Cox, Peter Bandettini","rasmus_birn, peter_bandettini",2002-01-01,NeuroImage,15.0,252-264,,,,,,journal_article,,
Long-term neural and physiological phenotyping of a single human,"Russell Poldrack, Timothy Laumann, Oluwasanmi Koyejo, Brenda Gregory, Ashleigh Hover, Mei-Yen Chen, Krzysztof Gorgolewski, Jeffrey Luci, Sung Joo, Ryan Boyd, Scott Hunicke-Smith, Zack Simpson, Thomas Caven, Vanessa Sochat, James Shine, Evan Gordon, Abraham Snyder, Babatunde Adeyemo, Steven Petersen, David Glahn, Reese Mckay, Joanne Curran, Harald Göring, Melanie Carless, John Blangero, Robert Dougherty, Alexander Leemans, Daniel Handwerker, Laurie Frick, Edward Marcotte, Jeanette Mumford",daniel_handwerker,2015-01-01,Nature Communications,8885.0,,,,,,,journal_article,10.1038/ncomms9885,
Positron emission tomography and functional magnetic resonance imaging,"E. Reiman, R. Lane, V. Petten, Peter Bandettini",peter_bandettini,2000-01-01,,,85-118,,,,,,book_chapter,,
Thesis: Magnetic Resonance Imaging of Human Brain Activation using Endogenous Susceptibility Contrast,Peter Bandettini,peter_bandettini,1994-01-01,,,,,,,,,book_chapter,,
The intravascular contribution to fMRI signal change: Monte Carlo modeling and diffusion-weighted studies in vivo,"J. Boxerman, Peter Bandettini, K. Kwong, J. Baker, T. Davis, B. Rosen, R. Weisskoff",peter_bandettini,1995-01-01,Magnetic Resonance in Medicine,34.0,10-Apr,,,,,,journal_article,,
Differences in neuroexcitatory actions of pyrethroid insecticides and sodium channel specific neurotoxins in rat and trout brain synaptosomes,"J. Eells, J. Rasmussen, Peter Bandettini, J. Propp",peter_bandettini,1993-01-01,Toxicology and Applied Pharmacology,123.0,107-119,,,,,,journal_article,,
Artifacts in functional magnetic resonance imaging from gaseous oxygen.,"S. Bates, Z. Yetkin, A. Jesmanowicz, J. Hyde, Peter Bandettini, L. Estkowski, V. Haughton",peter_bandettini,1995-01-01,Journal of magnetic resonance imaging : JMRI,5.0,443-445,,,,,,journal_article,,
A temporal deconvolution algorithm for multiecho functional MRI,"C. Gaudes, Peter Bandettini, J. Gonzalez-Castillo","peter_bandettini, javier_gonzalez-castillo",2018-01-01,,,,,,"<p>This work introduces a novel method for the temporal deconvolution of the BOLD signal for multiecho functional MRI (fMRI) data: Multiecho Paradigm Free Mapping (ME-PFM). By solving an inverse problem with the Generalized LASSO, this method obtains voxelwise time-varying estimates of the changes in the transverse relaxation (R) and the net magnetization (So) of the fMRI signal without prior knowledge of the timings of the BOLD responses. Our results with experimental data demonstrate that the maps of R changes obtained with ME-PFM at the times of the stimulus trials closely resemble the maps obtained with a standard approach that is aware of the onsets and durations of the events. Compared with previous deconvolution approaches for BOLD fMRI, this method yields estimates of R changes in physiologically interpretable units, which is particularly relevant for the quantification of the dynamics of the BOLD fMRI signal during tasks and resting state.</p>",,,journal_article,10.1109/ISBI.2018.8363649,multi_echo
What's new in neuroimaging methods?,Peter Bandettini,peter_bandettini,2009-01-01,Annals of the NY Academy of Sciences: The Year in Cognitive Neuroscience 2009.,1156.0,260-293,,,,,,journal_article,,
What Cascade Spreading Models Can Teach Us about the Brain,"Javier Gonzalez-Castillo, Peter Bandettini","javier_gonzalez-castillo, peter_bandettini",2015-01-01,Neuron,86.0,1327-1329,,,,,,journal_article,10.1016/j.neuron.2015.06.006,
Bioinstrumentation: A Project-Based Engineering Course,"Aaron Kyle, David Jangraw, Matthew Bouchard, Matthew Downs",david_jangraw,2016-01-01,IEEE Transactions on Education,59.0,52-58,,,,,,journal_article,10.1109/TE.2015.2445313,
Endogenous oscillations and networks in functional MRI,"Peter Bandettini, E. Bullmore",peter_bandettini,2008-01-01,Human Brain Mapping,29.0,737-739,,,,,,journal_article,,
The Haskins Pediatric Atlas: A magnetic-resonance-imaging-based pediatric template and atlas,"Peter Molfese, Peter Bandettini","peter_molfese, peter_bandettini",2021-01-01,Pediatric Radiology,,,,,,,,journal_article,https://doi.org/10.1007/s00247-020-04875-y,education
Pyrethroid insecticide induced alterations in mammalian synaptic membrane potential,"J. Eells, Peter Bandettini, P. Holman, J. Propp",peter_bandettini,1992-01-01,Journal of Pharmacology and Experimental Theraputics,262.0,1173-1181,,,,,,journal_article,,
"Functional Neuroimaging: an introduction to the technology, methodology, interpretation, and applications","T. Russell, F. Zelaya, R. Bressan, Peter Bandettini",peter_bandettini,2002-01-01,,,Jan-50,,,,,,book_chapter,,
Increased resting-state functional connectivity between the anterior cingulate cortex and the precuneus in panic disorder: Resting-state connectivity in panic disorder,"Y. Shin, M. Dzemidzic, H. Jo, Z. Long",hang_jo,2013-09-25,Journal of Affective Disorders,,,,,,,,journal_article,10.1016/j.jad.2013.04.026,
Neural correlates of visual working memory: fMRI amplitude predicts task performance.,"L. Pessoa, E. Gutierrez, Peter Bandettini, L. Ungerleider","ben_gutierrez, peter_bandettini",2002-01-01,Neuron,35.0,975-987,,,,,,journal_article,,
Matching categorical object representations in inferior temporal cortex of man and monkey,"N. Kriegeskorte, M. Mur, D. Ruff, R. Kiani, J. Bodurka, H. Esteky, K. Tanaka, Peter Bandettini","nicolaus_kriegeskorte, kevin_murphy, douglas_ruff, peter_bandettini",2008-01-01,Neuron,60.0,1126-1141,,,,,,journal_article,,
A hypercapnia-based normalization method for improved spatial localization of human brain activation with fMRI,"Peter Bandettini, E. Wong",peter_bandettini,1997-01-01,NMR in Biomedicine,10.0,197-203,,,,,,journal_article,,
Localization of the Cortical Response to Smiling Using New Imaging Paradigms with Functional Magnetic Resonance Imaging,"A. Gosain, R. Birn, J. Hyde",rasmus_birn,2001-01-01,Plastic and Reconstructive Surgery,108.0,1136-1144,,,,,,journal_article,,
The temporal resolution of Functional MRI,Peter Bandettini,peter_bandettini,1999-01-01,,,205-220,,,,,,book_chapter,,
"The NIMH intramural healthy volunteer dataset: A comprehensive MEG, MRI, and behavioral resource","Allison Nugent, Adam Thomas, Margaret Mahoney, Alison Gibbons, Jarrod Smith, Antoinette Charles, Jacob Shaw, Jeffrey Stout, Anna Namyst, Arshitha Basavaraj, Eric Earl, Travis Riddle, Joseph Snow, Shruti Japee, Adriana Pavletic, Stephen Sinclair, Vinai Roopchansingh, Peter Bandettini, Joyce Chung",peter_bandettini,2022-08-25,Scientific Data,9.0,,,,"The NIMH Healthy Research Volunteer Dataset is a collection of phenotypic data characterizing healthy research volunteers using clinical assessments such as assays of blood and urine, mental health assessments, diagnostic and dimensional measures of mental health, cognitive and neuropsychological functioning, structural and functional magnetic resonance imaging (MRI), along with diffusion tensor imaging (DTI), and a comprehensive magnetoencephalography battery (MEG). In addition, blood samples of healthy volunteers are banked for future analyses. All data collected in this protocol are broadly shared in the OpenNeuro repository, in the Brain Imaging Data Structure (BIDS) format. In addition, task paradigms and basic pre-processing scripts are shared on GitHub. There are currently few open access MEG datasets, and multimodal neuroimaging datasets are even more rare. Due to its depth of characterization of a healthy population in terms of brain health, this dataset may contribute to a wide array of secondary investigations of non-clinical and clinical research questions.",https://openneuro.org/datasets/ds004215/versions/1.0.0,,journal_article,10.1038/s41597-022-01623-9,education
Differences in the neuroexcitatory actions of pyrethroid insecticides and sodium channel-specific neurotoxins in rat and trout brain synaptosomes,"J. Eells, Peter Bandettini, J. Rasmussen, J. Propp",peter_bandettini,1993-01-01,Toxicology and Applied Pharmacology,123.0,107-119,,,,,,journal_article,,
The impact of global signal regression on resting state correlations: are anti-correlated networks introduced?,"K. Murphy, R. Birn, D. Handwerker, T. Jones, Peter Bandettini","kevin_murphy, rasmus_birn, daniel_handwerker, tyler_jones, peter_bandettini",2008-01-01,Neuroimage,44.0,893-905,,,,,,journal_article,,
Seven Topics in Functional Magnetic Resonance Imaging,Peter Bandettini,peter_bandettini,2009-01-01,Journal of Integrative Neuroscience,8.0,371-403,,,,,,journal_article,,
LifeWorks Profile: Peter Bandettini,Peter Bandettini,peter_bandettini,2008-01-01,,,,,,<p><a href='http://science.education.nih.gov/LifeWorks.nsf/Interviews/Peter+Bandettini'>http://science.education.nih.gov/LifeWorks.nsf/Interviews/Peter+Bandettini</a></p>,,,journal_article,,
Endogenous oscillations and networks in functional magnetic resonance imaging,"Peter Bandettini, E. Bullmore",peter_bandettini,2008-01-01,Human Brain Mapping,29.0,737-739,,,,,,journal_article,,
Whole-brain multivariate hemodynamic deconvolution for multi-echo fMRI with stability selection,"Eneko Uruñuela, Javier Gonzalez-Castillo, Charles Zheng, Peter Bandettini, Cesar Caballero-Gaudes","javier_gonzalez-castillo, peter_bandettini",2024-01-01,Medical Image Analysis,92.0,,,,"Conventionally, analysis of functional MRI (fMRI) data relies on available information about the experimental paradigm to establish hypothesized models of brain activity. However, this information can be inaccurate, incomplete or unavailable in multiple scenarios such as resting-state, naturalistic paradigms or clinical conditions. In these cases, blind estimates of neuronal-related activity can be obtained with paradigm-free analysis methods such as hemodynamic deconvolution. Yet, current formulations of the hemodynamic deconvolution problem have three important limitations: 1) their efficacy strongly depends on the appropriate selection of regularization parameters, 2) being univariate, they do not take advantage of the information present across the brain, and 3) they do not provide any measure of statistical certainty associated with each detected event. Here we propose a novel approach that addresses all these limitations. Specifically, we introduce MvME-SPFM (multivariate multi-echo sparse paradigm free mapping), a novel hemodynamic deconvolution algorithm that operates at the whole brain level and adds spatial information via a mixed-norm regularization term over all voxels. Additionally, MvME-SPFM employs a stability selection procedure that removes the need to select regularization parameters and also lets us obtain an estimate of the true probability of having a neuronal-related BOLD event at each voxel and time-point based on the area under the curve (AUC) of the stability paths. Besides, the formulation is tailored for multi-echo fMRI acquisitions, which allows us to better isolate fluctuations of BOLD origin on the basis of their linear dependence with Echo Time (TE) and to assign physiologically interpretable units (i.e., changes in the apparent transverse relaxation) to the resulting deconvolved events. We demonstrate that this algorithm outperforms existing state-of-the-art deconvolution approaches, and shows higher spatial and temporal agreement with the activation maps and BOLD signals obtained with a standard model-based linear regression approach, even at the level of individual neuronal events. Consequently, the proposed algorithm provides more reliable estimates of neuronal-related activity, here in terms of , for the study of the dynamics of brain activity when no information about the timings of the BOLD events is available. This algorithm will be made publicly available as part of the splora Python package.",,,journal_article,10.1016/j.media.2023.103010,multi_echo
Commentary on Pang et al. (2023) Nature,"Joshua Faskowitz, Daniel Moyer, Daniel Handwerker, Javier Gonzalez-Castillo, Peter Bandettini, Saad Jbabdi, Richard Betzel","joshua_faskowitz, daniel_handwerker, javier_gonzalez-castillo, peter_bandettini",2023-01-01,BioRxiv,,,,,"<p><a href='https://www.biorxiv.org/content/10.1101/2023.07.20.549785v1#ref-14'>Pang et al. (2023)</a> present novel analyses demonstrating that brain dynamics can be understood as resulting from the excitation of geometric modes, derived from the shape of the brain. Notably, they demonstrate that linear combinations of geometric modes can reconstruct patterns of fMRI data more accurately, and with fewer dimensions, than comparable connectivity-derived modes. Equipped with these results, and underpinned by neural field theory, the authors contend that the geometry of the cortical surface provides a more parsimonious explanation of brain activity than structural brain connectivity. This claim runs counter to prevailing theories of information flow in the brain, which emphasize the role of long-distance axonal projections and fasciculated white matter in relaying signals between cortical regions (<a href='https://www.biorxiv.org/content/10.1101/2023.07.20.549785v1#ref-9'>Honey et al. 2009</a>; <a href='https://www.biorxiv.org/content/10.1101/2023.07.20.549785v1#ref-5'>Deco et al. 2011</a>; <a href='https://www.biorxiv.org/content/10.1101/2023.07.20.549785v1#ref-18'>Seguin et al., 2023</a>). While we acknowledge that cortical geometry plays an important role in shaping human brain function, we feel that the presented work falls short of establishing that the brain‚Äôs geometry is ‚Äúa more fundamental constraint on dynamics than complex interregional connectivity‚Äù (<a href='https://www.biorxiv.org/content/10.1101/2023.07.20.549785v1#ref-14'>Pang et al. 2023</a>). Here, we provide 1) a brief critique of the paper‚Äôs framing and 2) evidence showing that their methodology lacks specificity to the brain‚Äôs orientation and shape. Ultimately, we recognize that the geometric mode approach is a powerful representational framework for brain dynamics analysis, but we also believe that there are key caveats to consider alongside the claims made in the manuscript.</p>",,https://github.com/faskowit/eigenmodes_nulls,journal_article,https://doi.org/10.1101/2023.07.20.549785,bold_connectivity_dynamics
Expression of conditional fear with and without awareness,"D. Knight, H. Nguyen, Peter Bandettini","david_knight, hanh_nguyen, peter_bandettini",2003-01-01,Proceedings of the National Academy of Sciences of the United States of America,100.0,15280-15283,,,,,,journal_article,,
Fast detection and reduction of local transient artifacts in resting-state fMRI,"Hang Jo, Richard Reynolds, Stephen Gotts, Daniel Handwerker, Irena Balzekas, Alex Martin, Robert Cox, Peter Bandettini","hang_jo, daniel_handwerker, peter_bandettini",2020-01-01,Computers in Biology and Medicine,120.0,103742,,,,,,journal_article,10.1016/j.compbiomed.2020.103742,bold_connectivity_dynamics
Layer-specific activation of sensory input and predictive feedback in the human primary somatosensory cortex,"Yinghua Yu, Laurentius Huber, Jiajia Yang, David Jangraw, Daniel Handwerker, Peter Molfese, Gang Chen, Yoshimichi Ejima, Jinglong Wu, Peter Bandettini","laurentius_huber, zhi_yang, david_jangraw, daniel_handwerker, peter_molfese, peter_bandettini",2019-01-01,Science Advances,5.0,,,,"<p>Using laminar fMRI, we show that prediction and sensory inputs activate specific layers in human primary somatosensory cortex.</p>",,,journal_article,10.1126/sciadv.aav9053,layer_fmri
Artefactual time-course correlations in echo-planar fMRI with implications for studies of brain function,"N. Kriegeskorte, J. Bodurka, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2008-01-01,International Journal of Imaging Systems and Technology,18.0,345-349,,,,,,journal_article,,
